month,vessel_type,number_of_vessels,gross_tonnage
1995-01,Container,1112,19477.72
1995-01,Freighter,916,4006.11
1995-01,Bulk Carrier,346,9115.43
1995-01,Tanker,1272,20064.49
1995-01,Passenger,2656,2403.33
1995-01,Barges,1352,1241.02
1995-01,Tug,775,129.44
1995-01,Miscellaneous,447,2541.08
1995-02,Container,1001,18105.27
1995-02,Freighter,843,3995.91
1995-02,Bulk Carrier,263,7369.74
1995-02,Tanker,1171,18717.89
1995-02,Passenger,2265,2147.31
1995-02,Barges,1040,1063.33
1995-02,Tug,614,115.96
1995-02,Miscellaneous,396,2271.35
1995-03,Container,1079,19376.52
1995-03,Freighter,927,4016.74
1995-03,Bulk Carrier,308,8187.82
1995-03,Tanker,1299,20873.16
1995-03,Passenger,2614,2534.46
1995-03,Barges,1226,1183.79
1995-03,Tug,709,121.26
1995-03,Miscellaneous,448,2147
1995-04,Container,1026,18523.24
1995-04,Freighter,894,4095.16
1995-04,Bulk Carrier,317,9136.04
1995-04,Tanker,1261,21470.51
1995-04,Passenger,2511,2203.98
1995-04,Barges,1292,1165.61
1995-04,Tug,739,121.07
1995-04,Miscellaneous,443,2636.05
1995-05,Container,1106,19747.9
1995-05,Freighter,881,3841.34
1995-05,Bulk Carrier,323,9072.3
1995-05,Tanker,1287,22675.95
1995-05,Passenger,2650,2223.32
1995-05,Barges,1316,1225.82
1995-05,Tug,723,127.24
1995-05,Miscellaneous,463,2782.19
1995-06,Container,1065,19204.3
1995-06,Freighter,871,4044.44
1995-06,Bulk Carrier,313,8221.29
1995-06,Tanker,1257,18223.95
1995-06,Passenger,2412,2056.02
1995-06,Barges,1379,1198.41
1995-06,Tug,776,133.95
1995-06,Miscellaneous,434,2277.88
1995-07,Container,1147,20391.8
1995-07,Freighter,894,4125.53
1995-07,Bulk Carrier,390,10843.54
1995-07,Tanker,1300,19917.48
1995-07,Passenger,2351,2292.55
1995-07,Barges,1401,1285.16
1995-07,Tug,768,138.4
1995-07,Miscellaneous,418,2316.07
1995-08,Container,1191,20619.67
1995-08,Freighter,913,4246.79
1995-08,Bulk Carrier,342,8692.55
1995-08,Tanker,1311,20287.79
1995-08,Passenger,2225,2336.52
1995-08,Barges,1344,1201.08
1995-08,Tug,743,125.29
1995-08,Miscellaneous,429,2589.55
1995-09,Container,1165,20264.79
1995-09,Freighter,875,4041.29
1995-09,Bulk Carrier,330,8585.8
1995-09,Tanker,1286,19252.72
1995-09,Passenger,2245,2134.53
1995-09,Barges,1447,1392.14
1995-09,Tug,793,129.07
1995-09,Miscellaneous,441,2560.55
1995-10,Container,1221,21438.82
1995-10,Freighter,903,4268.83
1995-10,Bulk Carrier,367,9230.35
1995-10,Tanker,1294,18885.83
1995-10,Passenger,2439,2205.83
1995-10,Barges,1564,1448.43
1995-10,Tug,892,146.61
1995-10,Miscellaneous,460,2698.95
1995-11,Container,1153,20534.79
1995-11,Freighter,877,4121.41
1995-11,Bulk Carrier,331,9373.56
1995-11,Tanker,1261,18284.19
1995-11,Passenger,2391,1986.18
1995-11,Barges,1495,1392.26
1995-11,Tug,822,144.82
1995-11,Miscellaneous,458,3005.18
1995-12,Container,1211,21368.51
1995-12,Freighter,854,3802.98
1995-12,Bulk Carrier,355,10199.84
1995-12,Tanker,1355,21715.08
1995-12,Passenger,2755,2280.65
1995-12,Barges,1631,1542.55
1995-12,Tug,924,153.59
1995-12,Miscellaneous,434,2958.56
1996-01,Container,1218,21885.63
1996-01,Freighter,924,4157.78
1996-01,Bulk Carrier,329,9398.41
1996-01,Tanker,1348,20167
1996-01,Passenger,2677,2067.52
1996-01,Barges,1685,1544.98
1996-01,Tug,977,168.78
1996-01,Miscellaneous,434,3045.21
1996-02,Container,1128,20731.07
1996-02,Freighter,742,3307.91
1996-02,Bulk Carrier,361,11092.63
1996-02,Tanker,1296,20054.5
1996-02,Passenger,2653,2109.91
1996-02,Barges,1314,1279.15
1996-02,Tug,780,142.06
1996-02,Miscellaneous,413,2499.15
1996-03,Container,1209,22128.31
1996-03,Freighter,859,3464.2
1996-03,Bulk Carrier,391,11064.44
1996-03,Tanker,1441,24433.43
1996-03,Passenger,2851,2522.14
1996-03,Barges,1713,1609.22
1996-03,Tug,1063,176.77
1996-03,Miscellaneous,444,2518.31
1996-04,Container,1201,21585.91
1996-04,Freighter,874,3790.13
1996-04,Bulk Carrier,350,10110.84
1996-04,Tanker,1386,21354.37
1996-04,Passenger,2689,2023.45
1996-04,Barges,1686,1585.87
1996-04,Tug,973,154.48
1996-04,Miscellaneous,474,2811.72
1996-05,Container,1267,22961.72
1996-05,Freighter,894,3946.03
1996-05,Bulk Carrier,351,9803.39
1996-05,Tanker,1427,21683.16
1996-05,Passenger,2610,2096.69
1996-05,Barges,1751,1701.87
1996-05,Tug,1035,186.18
1996-05,Miscellaneous,501,3107.26
1996-06,Container,1259,22451.36
1996-06,Freighter,847,3813.98
1996-06,Bulk Carrier,398,11470.85
1996-06,Tanker,1368,19404.39
1996-06,Passenger,2542,2029.15
1996-06,Barges,1727,1556.72
1996-06,Tug,1040,163.11
1996-06,Miscellaneous,454,2720.66
1996-07,Container,1337,23601.63
1996-07,Freighter,885,4143.84
1996-07,Bulk Carrier,391,10676.61
1996-07,Tanker,1392,19597.46
1996-07,Passenger,2584,1755.44
1996-07,Barges,1852,1739.8
1996-07,Tug,1132,184.81
1996-07,Miscellaneous,473,3056.51
1996-08,Container,1316,23834.43
1996-08,Freighter,871,3714.74
1996-08,Bulk Carrier,359,10031.43
1996-08,Tanker,1389,20246.51
1996-08,Passenger,2605,1911.1
1996-08,Barges,1807,1677.86
1996-08,Tug,1068,174.56
1996-08,Miscellaneous,473,2597.43
1996-09,Container,1287,23641.74
1996-09,Freighter,829,3514.73
1996-09,Bulk Carrier,372,10643.84
1996-09,Tanker,1328,19597.42
1996-09,Passenger,2733,1876.84
1996-09,Barges,1773,1630.03
1996-09,Tug,1044,172.63
1996-09,Miscellaneous,474,2887
1996-10,Container,1310,23857
1996-10,Freighter,839,3504.29
1996-10,Bulk Carrier,376,10806.87
1996-10,Tanker,1335,18345.58
1996-10,Passenger,2927,1953.06
1996-10,Barges,1815,1712.38
1996-10,Tug,1108,186.21
1996-10,Miscellaneous,508,3078.07
1996-11,Container,1319,23948.41
1996-11,Freighter,816,3524.61
1996-11,Bulk Carrier,353,10244.46
1996-11,Tanker,1321,18703.15
1996-11,Passenger,2886,2106.47
1996-11,Barges,1752,1627.5
1996-11,Tug,1096,172.22
1996-11,Miscellaneous,540,3142.64
1996-12,Container,1340,24179.91
1996-12,Freighter,830,3618.1
1996-12,Bulk Carrier,366,10559.72
1996-12,Tanker,1360,19118.45
1996-12,Passenger,2946,2215.91
1996-12,Barges,1761,1705.88
1996-12,Tug,1184,191.81
1996-12,Miscellaneous,507,3027.7
1997-01,Container,1320,24406.33
1997-01,Freighter,858,3615.31
1997-01,Bulk Carrier,369,10555.08
1997-01,Tanker,1466,21131.3
1997-01,Passenger,3028,2163.45
1997-01,Barges,1860,1781.71
1997-01,Tug,1277,207.76
1997-01,Miscellaneous,548,3126.1
1997-02,Container,1191,22080.39
1997-02,Freighter,650,2838.12
1997-02,Bulk Carrier,331,9177.74
1997-02,Tanker,1286,18230.44
1997-02,Passenger,2687,1971.14
1997-02,Barges,1344,1326.75
1997-02,Tug,983,154.74
1997-02,Miscellaneous,473,2796.62
1997-03,Container,1351,24527.19
1997-03,Freighter,805,3447.69
1997-03,Bulk Carrier,326,9721.74
1997-03,Tanker,1425,19711.2
1997-03,Passenger,2945,2124.8
1997-03,Barges,1872,1818.95
1997-03,Tug,1327,202.73
1997-03,Miscellaneous,554,2768.25
1997-04,Container,1328,24027.51
1997-04,Freighter,828,3572.52
1997-04,Bulk Carrier,364,10350.58
1997-04,Tanker,1452,21650.04
1997-04,Passenger,2749,1665.97
1997-04,Barges,1813,1861.12
1997-04,Tug,1287,208.97
1997-04,Miscellaneous,511,2802.5
1997-05,Container,1370,24812.66
1997-05,Freighter,835,3380.96
1997-05,Bulk Carrier,333,9878.23
1997-05,Tanker,1577,23818.64
1997-05,Passenger,2932,1805.13
1997-05,Barges,1882,1895.52
1997-05,Tug,1363,214.26
1997-05,Miscellaneous,569,3185.53
1997-06,Container,1327,23831.14
1997-06,Freighter,844,3539.97
1997-06,Bulk Carrier,356,10063.25
1997-06,Tanker,1537,21720.86
1997-06,Passenger,2941,1926.76
1997-06,Barges,1905,1933.38
1997-06,Tug,1320,200.18
1997-06,Miscellaneous,500,3035.31
1997-07,Container,1369,25288.06
1997-07,Freighter,875,3673.25
1997-07,Bulk Carrier,384,11115.33
1997-07,Tanker,1569,22941.83
1997-07,Passenger,3039,1896.56
1997-07,Barges,2076,2065.14
1997-07,Tug,1465,224.79
1997-07,Miscellaneous,557,3296.8
1997-08,Container,1364,24833.94
1997-08,Freighter,830,3646.6
1997-08,Bulk Carrier,372,10682.6
1997-08,Tanker,1433,23161.27
1997-08,Passenger,3180,1972.86
1997-08,Barges,2040,2058.06
1997-08,Tug,1433,215.23
1997-08,Miscellaneous,517,2799.31
1997-09,Container,1361,24662.98
1997-09,Freighter,859,3980.23
1997-09,Bulk Carrier,374,10063.48
1997-09,Tanker,1338,20789.09
1997-09,Passenger,3207,1869.6
1997-09,Barges,2139,2191.62
1997-09,Tug,1472,227.55
1997-09,Miscellaneous,567,2917.31
1997-10,Container,1416,26032.12
1997-10,Freighter,867,3597.89
1997-10,Bulk Carrier,410,11222.14
1997-10,Tanker,1305,24171.67
1997-10,Passenger,3397,2061.68
1997-10,Barges,2067,2141.71
1997-10,Tug,1437,211.61
1997-10,Miscellaneous,582,3075.95
1997-11,Container,1367,24843.64
1997-11,Freighter,844,3770.77
1997-11,Bulk Carrier,362,9183.74
1997-11,Tanker,1178,20467.85
1997-11,Passenger,3402,2426.33
1997-11,Barges,1980,2133.25
1997-11,Tug,1390,205.86
1997-11,Miscellaneous,552,2752.29
1997-12,Container,1440,25945.28
1997-12,Freighter,804,3578.37
1997-12,Bulk Carrier,391,11393.11
1997-12,Tanker,1188,22205.53
1997-12,Passenger,3999,3392.36
1997-12,Barges,1956,2068.83
1997-12,Tug,1403,221.99
1997-12,Miscellaneous,577,3360.86
1998-01,Container,1418,26442
1998-01,Freighter,792,3925
1998-01,Bulk Carrier,468,13433
1998-01,Tanker,1276,23152
1998-01,Passenger,3952,2967
1998-01,Barges,1716,1846
1998-01,Tug,1300,223
1998-01,Miscellaneous,557,3384
1998-02,Container,1265,23501
1998-02,Freighter,764,3516
1998-02,Bulk Carrier,365,11908
1998-02,Tanker,1117,20924
1998-02,Passenger,3456,2507
1998-02,Barges,1812,1998
1998-02,Tug,1347,225
1998-02,Miscellaneous,505,3050
1998-03,Container,1486,27665
1998-03,Freighter,795,3390
1998-03,Bulk Carrier,390,10400
1998-03,Tanker,1157,20940
1998-03,Passenger,3717,3040
1998-03,Barges,2057,2209
1998-03,Tug,1529,255
1998-03,Miscellaneous,509,2776
1998-04,Container,1408,26049
1998-04,Freighter,769,3372
1998-04,Bulk Carrier,327,8984
1998-04,Tanker,1185,20870
1998-04,Passenger,3676,2645
1998-04,Barges,1800,1988
1998-04,Tug,1409,237
1998-04,Miscellaneous,521,2981
1998-05,Container,1437,26768
1998-05,Freighter,797,3626
1998-05,Bulk Carrier,353,10134
1998-05,Tanker,1256,24180
1998-05,Passenger,4034,2831
1998-05,Barges,1974,2237
1998-05,Tug,1523,258
1998-05,Miscellaneous,535,2850
1998-06,Container,1405,26294
1998-06,Freighter,786,3213
1998-06,Bulk Carrier,379,10883
1998-06,Tanker,1159,21666
1998-06,Passenger,3929,2817
1998-06,Barges,1997,2255
1998-06,Tug,1499,242
1998-06,Miscellaneous,548,3088
1998-07,Container,1452,27221
1998-07,Freighter,862,3970
1998-07,Bulk Carrier,357,10600
1998-07,Tanker,1228,23275
1998-07,Passenger,3980,2737
1998-07,Barges,1980,2233
1998-07,Tug,1471,245
1998-07,Miscellaneous,585,3249
1998-08,Container,1468,27905
1998-08,Freighter,841,3735
1998-08,Bulk Carrier,350,10693
1998-08,Tanker,1179,20546
1998-08,Passenger,4202,2743
1998-08,Barges,1924,2222
1998-08,Tug,1491,232
1998-08,Miscellaneous,575,3419
1998-09,Container,1424,26909
1998-09,Freighter,838,3486
1998-09,Bulk Carrier,325,9411
1998-09,Tanker,1168,22276
1998-09,Passenger,4203,2664
1998-09,Barges,1937,2165
1998-09,Tug,1447,232
1998-09,Miscellaneous,562,3809
1998-10,Container,1432,27850
1998-10,Freighter,867,3518
1998-10,Bulk Carrier,321,9545
1998-10,Tanker,1193,22987
1998-10,Passenger,4216,3315
1998-10,Barges,1995,2160
1998-10,Tug,1454,241
1998-10,Miscellaneous,600,3401
1998-11,Container,1415,27319
1998-11,Freighter,803,3556
1998-11,Bulk Carrier,323,9702
1998-11,Tanker,1171,20679
1998-11,Passenger,4353,2786
1998-11,Barges,1969,2050
1998-11,Tug,1479,225
1998-11,Miscellaneous,575,3467
1998-12,Container,1451,28103
1998-12,Freighter,862,3814
1998-12,Bulk Carrier,363,10649
1998-12,Tanker,1311,23869
1998-12,Passenger,4517,2849
1998-12,Barges,1919,2039
1998-12,Tug,1468,229
1998-12,Miscellaneous,560,3181
1999-01,Container,1396,28260
1999-01,Freighter,819,3650
1999-01,Bulk Carrier,387,11848
1999-01,Tanker,1335,24913
1999-01,Passenger,4455,3063
1999-01,Barges,1831,1980
1999-01,Tug,1392,237
1999-01,Miscellaneous,612,3319
1999-02,Container,1269,25424
1999-02,Freighter,673,3424
1999-02,Bulk Carrier,342,10015
1999-02,Tanker,1183,19014
1999-02,Passenger,3920,2755
1999-02,Barges,1617,1715
1999-02,Tug,1199,193
1999-02,Miscellaneous,540,2806
1999-03,Container,1415,28358
1999-03,Freighter,817,3643
1999-03,Bulk Carrier,396,11666
1999-03,Tanker,1291,23264
1999-03,Passenger,4340,3328
1999-03,Barges,1991,2141
1999-03,Tug,1489,237
1999-03,Miscellaneous,654,3297
1999-04,Container,1368,27262
1999-04,Freighter,791,3581
1999-04,Bulk Carrier,357,10770
1999-04,Tanker,1310,23751
1999-04,Passenger,4245,2801
1999-04,Barges,1747,2060
1999-04,Tug,1382,251
1999-04,Miscellaneous,622,3094
1999-05,Container,1419,28308
1999-05,Freighter,787,3527
1999-05,Bulk Carrier,351,10784
1999-05,Tanker,1349,25329
1999-05,Passenger,4332,2662
1999-05,Barges,1798,2014
1999-05,Tug,1384,231
1999-05,Miscellaneous,613,3122
1999-06,Container,1365,27525
1999-06,Freighter,800,3535
1999-06,Bulk Carrier,347,10968
1999-06,Tanker,1222,20861
1999-06,Passenger,4290,2423
1999-06,Barges,1748,1891
1999-06,Tug,1333,224
1999-06,Miscellaneous,645,3718
1999-07,Container,1382,27777
1999-07,Freighter,812,3460
1999-07,Bulk Carrier,360,10667
1999-07,Tanker,1277,23072
1999-07,Passenger,4479,2325
1999-07,Barges,1819,1924
1999-07,Tug,1420,253
1999-07,Miscellaneous,792,4025
1999-08,Container,1426,28209
1999-08,Freighter,794,3705
1999-08,Bulk Carrier,339,10215
1999-08,Tanker,1288,21674
1999-08,Passenger,4316,2692
1999-08,Barges,1795,1914
1999-08,Tug,1321,221
1999-08,Miscellaneous,780,4230
1999-09,Container,1393,27121
1999-09,Freighter,741,3450
1999-09,Bulk Carrier,364,10525
1999-09,Tanker,1246,22991
1999-09,Passenger,4045,2693
1999-09,Barges,1775,1904
1999-09,Tug,1285,205
1999-09,Miscellaneous,790,3792
1999-10,Container,1464,28552
1999-10,Freighter,746,3269
1999-10,Bulk Carrier,395,11999
1999-10,Tanker,1310,23311
1999-10,Passenger,4056,2330
1999-10,Barges,1741,1888
1999-10,Tug,1280,226
1999-10,Miscellaneous,784,3535
1999-11,Container,1387,27107
1999-11,Freighter,695,3170
1999-11,Bulk Carrier,339,9975
1999-11,Tanker,1254,22128
1999-11,Passenger,3842,2279
1999-11,Barges,1671,1823
1999-11,Tug,1247,232
1999-11,Miscellaneous,741,3436
1999-12,Container,1422,28110
1999-12,Freighter,736,3286
1999-12,Bulk Carrier,345,10984
1999-12,Tanker,1288,23008
1999-12,Passenger,4158,2437
1999-12,Barges,1657,1776
1999-12,Tug,1179,182
1999-12,Miscellaneous,779,3798
2000-01,Container,1394,27690
2000-01,Freighter,682,3173
2000-01,Bulk Carrier,384,12193
2000-01,Tanker,1268,25153
2000-01,Passenger,4240,2479
2000-01,Barges,1537,1735
2000-01,Tug,1156,219
2000-01,Miscellaneous,773,3619
2000-02,Container,1332,26141
2000-02,Freighter,639,2841
2000-02,Bulk Carrier,324,10026
2000-02,Tanker,1205,22427
2000-02,Passenger,4290,2513
2000-02,Barges,1350,1419
2000-02,Tug,1025,205
2000-02,Miscellaneous,729,3865
2000-03,Container,1438,28564
2000-03,Freighter,752,3229
2000-03,Bulk Carrier,312,9068
2000-03,Tanker,1272,23176
2000-03,Passenger,4570,2964
2000-03,Barges,1763,1920
2000-03,Tug,1309,227
2000-03,Miscellaneous,880,4019
2000-04,Container,1408,27910
2000-04,Freighter,725,3134
2000-04,Bulk Carrier,352,11384
2000-04,Tanker,1407,26190
2000-04,Passenger,4460,2307
2000-04,Barges,1674,1831
2000-04,Tug,1201,195
2000-04,Miscellaneous,777,3727
2000-05,Container,1449,28746
2000-05,Freighter,751,3454
2000-05,Bulk Carrier,388,11752
2000-05,Tanker,1377,25899
2000-05,Passenger,4606,2319
2000-05,Barges,1728,1915
2000-05,Tug,1242,202
2000-05,Miscellaneous,854,4105
2000-06,Container,1403,28360
2000-06,Freighter,693,2953
2000-06,Bulk Carrier,351,10324
2000-06,Tanker,1299,24456
2000-06,Passenger,4634,2330
2000-06,Barges,1817,1982
2000-06,Tug,1343,226
2000-06,Miscellaneous,885,4242
2000-07,Container,1451,29046
2000-07,Freighter,778,3312
2000-07,Bulk Carrier,390,11593
2000-07,Tanker,1384,25637
2000-07,Passenger,4535,2249
2000-07,Barges,1811,1992
2000-07,Tug,1339,207
2000-07,Miscellaneous,924,4857
2000-08,Container,1457,29216
2000-08,Freighter,759,3448
2000-08,Bulk Carrier,354,10769
2000-08,Tanker,1321,24315
2000-08,Passenger,4550,2254
2000-08,Barges,1721,1903
2000-08,Tug,1307,204
2000-08,Miscellaneous,899,4739
2000-09,Container,1418,28560
2000-09,Freighter,753,3360
2000-09,Bulk Carrier,361,10886
2000-09,Tanker,1295,24039
2000-09,Passenger,4334,2190
2000-09,Barges,1664,1818
2000-09,Tug,1281,201
2000-09,Miscellaneous,831,4604
2000-10,Container,1469,29787
2000-10,Freighter,801,3759
2000-10,Bulk Carrier,364,11188
2000-10,Tanker,1319,26424
2000-10,Passenger,4650,2416
2000-10,Barges,1706,1881
2000-10,Tug,1264,228
2000-10,Miscellaneous,931,5083
2000-11,Container,1367,26863
2000-11,Freighter,772,3290
2000-11,Bulk Carrier,346,11261
2000-11,Tanker,1336,22730
2000-11,Passenger,4432,2525
2000-11,Barges,1697,1877
2000-11,Tug,1249,207
2000-11,Miscellaneous,907,4700
2000-12,Container,1385,26697
2000-12,Freighter,751,3248
2000-12,Bulk Carrier,365,12041
2000-12,Tanker,1402,24054
2000-12,Passenger,4950,2809
2000-12,Barges,1504,1699
2000-12,Tug,1158,199
2000-12,Miscellaneous,893,5007
2001-01,Container,1401,26811
2001-01,Freighter,738,3598
2001-01,Bulk Carrier,444,14448
2001-01,Tanker,1368,24900
2001-01,Passenger,4898,2637
2001-01,Barges,1389,1605
2001-01,Tug,1080,204
2001-01,Miscellaneous,868,5021
2001-02,Container,1250,24296
2001-02,Freighter,752,3076
2001-02,Bulk Carrier,339,10900
2001-02,Tanker,1201,20471
2001-02,Passenger,4283,2389
2001-02,Barges,1401,1623
2001-02,Tug,1113,182
2001-02,Miscellaneous,792,4634
2001-03,Container,1431,27892
2001-03,Freighter,789,3266
2001-03,Bulk Carrier,373,11729
2001-03,Tanker,1424,25510
2001-03,Passenger,4638,3040
2001-03,Barges,1682,1864
2001-03,Tug,1354,240
2001-03,Miscellaneous,883,5251
2001-04,Container,1397,27382
2001-04,Freighter,791,3070
2001-04,Bulk Carrier,371,12294
2001-04,Tanker,1307,24867
2001-04,Passenger,4379,2406
2001-04,Barges,1550,1858
2001-04,Tug,1262,234
2001-04,Miscellaneous,805,4850
2001-05,Container,1397,27807
2001-05,Freighter,804,3038
2001-05,Bulk Carrier,433,14586
2001-05,Tanker,1369,24483
2001-05,Passenger,4641,2313
2001-05,Barges,1750,2168
2001-05,Tug,1359,249
2001-05,Miscellaneous,808,4817
2001-06,Container,1385,27583
2001-06,Freighter,756,2998
2001-06,Bulk Carrier,415,13878
2001-06,Tanker,1318,24938
2001-06,Passenger,4369,2368
2001-06,Barges,1654,2018
2001-06,Tug,1327,231
2001-06,Miscellaneous,824,4927
2001-07,Container,1479,29274
2001-07,Freighter,847,3487
2001-07,Bulk Carrier,438,13957
2001-07,Tanker,1438,25163
2001-07,Passenger,4667,2364
2001-07,Barges,1731,2123
2001-07,Tug,1465,265
2001-07,Miscellaneous,847,4943
2001-08,Container,1490,29597
2001-08,Freighter,826,2973
2001-08,Bulk Carrier,453,14911
2001-08,Tanker,1434,25574
2001-08,Passenger,4727,2418
2001-08,Barges,1596,2029
2001-08,Tug,1316,237
2001-08,Miscellaneous,854,4377
2001-09,Container,1452,28785
2001-09,Freighter,860,3423
2001-09,Bulk Carrier,452,14771
2001-09,Tanker,1373,25395
2001-09,Passenger,4456,2607
2001-09,Barges,1457,1781
2001-09,Tug,1205,220
2001-09,Miscellaneous,800,4428
2001-10,Container,1500,29438
2001-10,Freighter,798,3137
2001-10,Bulk Carrier,472,15511
2001-10,Tanker,1472,28990
2001-10,Passenger,4372,2498
2001-10,Barges,1662,2088
2001-10,Tug,1318,234
2001-10,Miscellaneous,860,5063
2001-11,Container,1414,28624
2001-11,Freighter,825,3526
2001-11,Bulk Carrier,438,14845
2001-11,Tanker,1412,26592
2001-11,Passenger,4232,2721
2001-11,Barges,1469,1949
2001-11,Tug,1231,223
2001-11,Miscellaneous,850,3923
2001-12,Container,1453,29718
2001-12,Freighter,779,3056
2001-12,Bulk Carrier,433,14597
2001-12,Tanker,1388,27416
2001-12,Passenger,4354,3139
2001-12,Barges,1418,1863
2001-12,Tug,1205,238
2001-12,Miscellaneous,885,4652
2002-01,Container,1449,29562
2002-01,Freighter,819,2706
2002-01,Bulk Carrier,389,13101
2002-01,Tanker,1384,26206
2002-01,Passenger,4243,2503
2002-01,Barges,1503,1929
2002-01,Tug,1212,248
2002-01,Miscellaneous,911,4470
2002-02,Container,1283,26103
2002-02,Freighter,734,2563
2002-02,Bulk Carrier,383,12939
2002-02,Tanker,1235,21854
2002-02,Passenger,3980,3098
2002-02,Barges,1192,1571
2002-02,Tug,1002,204
2002-02,Miscellaneous,703,3865
2002-03,Container,1437,29268
2002-03,Freighter,946,3203
2002-03,Bulk Carrier,399,13184
2002-03,Tanker,1452,28396
2002-03,Passenger,4506,3294
2002-03,Barges,1433,1941
2002-03,Tug,1189,248
2002-03,Miscellaneous,753,4280
2002-04,Container,1382,28538.37
2002-04,Freighter,898,2952.86
2002-04,Bulk Carrier,406,13897.93
2002-04,Tanker,1439,29213
2002-04,Passenger,4200,2215
2002-04,Barges,1405,1928.99
2002-04,Tug,1169,232
2002-04,Miscellaneous,732,4323.54
2002-05,Container,1426,30422.78
2002-05,Freighter,937,2960.02
2002-05,Bulk Carrier,443,15012.83
2002-05,Tanker,1474,25734.2
2002-05,Passenger,4392,2131
2002-05,Barges,1364,1843.26
2002-05,Tug,1182,228
2002-05,Miscellaneous,871,4946.22
2002-06,Container,1383,29609
2002-06,Freighter,925,2733.46
2002-06,Bulk Carrier,444,15189.02
2002-06,Tanker,1435,24798
2002-06,Passenger,4198,1934
2002-06,Barges,1329,1797.52
2002-06,Tug,1151,224
2002-06,Miscellaneous,854,4284.53
2002-07,Container,1384,30078.23
2002-07,Freighter,898,2521.31
2002-07,Bulk Carrier,461,15135.23
2002-07,Tanker,1427,27466
2002-07,Passenger,4758,1852
2002-07,Barges,1378,1830.82
2002-07,Tug,1213,250
2002-07,Miscellaneous,939,4875.26
2002-08,Container,1375,30095.96
2002-08,Freighter,881,2775.08
2002-08,Bulk Carrier,404,13643.4
2002-08,Tanker,1388,25113.37
2002-08,Passenger,4741,2038.11
2002-08,Barges,1332,1764.99
2002-08,Tug,1178,213.93
2002-08,Miscellaneous,879,4380.02
2002-09,Container,1332,28292.29
2002-09,Freighter,854,3122.47
2002-09,Bulk Carrier,427,14301.05
2002-09,Tanker,1345,23728.49
2002-09,Passenger,4568,2088.06
2002-09,Barges,1321,1840.76
2002-09,Tug,1162,224.94
2002-09,Miscellaneous,869,3942.29
2002-10,Container,1343,28355.77
2002-10,Freighter,960,2830.6
2002-10,Bulk Carrier,464,16131.35
2002-10,Tanker,1452,26723.02
2002-10,Passenger,4816,2255.95
2002-10,Barges,1342,1769.4
2002-10,Tug,1154,217.7
2002-10,Miscellaneous,838,4011.02
2002-11,Container,1289,27601.41
2002-11,Freighter,1003,3233.89
2002-11,Bulk Carrier,462,16307.47
2002-11,Tanker,1444,26374
2002-11,Passenger,4683,2282
2002-11,Barges,1239,1667.29
2002-11,Tug,1067,216
2002-11,Miscellaneous,789,3583.29
2002-12,Container,1335,29398.6
2002-12,Freighter,881,3031.04
2002-12,Bulk Carrier,415,14307.56
2002-12,Tanker,1445,27744.31
2002-12,Passenger,4889,2233.84
2002-12,Barges,1157,1590.47
2002-12,Tug,1025,193.43
2002-12,Miscellaneous,764,4226.37
2003-01,Container,1341,29022
2003-01,Freighter,955,3084
2003-01,Bulk Carrier,476,16147
2003-01,Tanker,1431,27720
2003-01,Passenger,4862,2487
2003-01,Barges,1178,1639
2003-01,Tug,1056,215
2003-01,Miscellaneous,773,4016
2003-02,Container,1199,26318
2003-02,Freighter,761,2630
2003-02,Bulk Carrier,408,13505
2003-02,Tanker,1295,26103
