month,vessel_type,number_of_vessels,gross_tonnage
2003-02,Passenger,4347,2683
2003-02,Barges,941,1385
2003-02,Tug,861,182
2003-02,Miscellaneous,666,3860
2003-03,Container,1350,30096
2003-03,Freighter,862,2776
2003-03,Bulk Carrier,478,16714
2003-03,Tanker,1417,27607
2003-03,Passenger,4476,2905
2003-03,Barges,1336,1952
2003-03,Tug,1136,228
2003-03,Miscellaneous,805,3809
2003-04,Container,1302,28727.34
2003-04,Freighter,878,3106.96
2003-04,Bulk Carrier,462,16847.97
2003-04,Tanker,1458,26485.77
2003-04,Passenger,3715,1263.42
2003-04,Barges,1360,1847.15
2003-04,Tug,1122,217.33
2003-04,Miscellaneous,811,4053.07
2003-05,Container,1382,31429.83
2003-05,Freighter,900,3010.6
2003-05,Bulk Carrier,438,15443.31
2003-05,Tanker,1383,24240.45
2003-05,Passenger,3461,1389.94
2003-05,Barges,1349,1710.25
2003-05,Tug,1086,195.78
2003-05,Miscellaneous,838,4123.95
2003-06,Container,1321,29561.92
2003-06,Freighter,833,3109.57
2003-06,Bulk Carrier,459,15608.91
2003-06,Tanker,1442,26021.54
2003-06,Passenger,3467,1526.64
2003-06,Barges,1301,1693.69
2003-06,Tug,1084,206.44
2003-06,Miscellaneous,848,4511.99
2003-07,Container,1396,31246.73
2003-07,Freighter,903,2607.5
2003-07,Bulk Carrier,437,14367.52
2003-07,Tanker,1510,26161.82
2003-07,Passenger,3962,1809
2003-07,Barges,1243,1553.34
2003-07,Tug,1068,203.8
2003-07,Miscellaneous,798,4165.05
2003-08,Container,1381,31009.19
2003-08,Freighter,824,2950.23
2003-08,Bulk Carrier,465,16641.45
2003-08,Tanker,1494,26074.46
2003-08,Passenger,4115,1836.53
2003-08,Barges,1166,1500.63
2003-08,Tug,1071,206.03
2003-08,Miscellaneous,768,4359.7
2003-09,Container,1344,30090.45
2003-09,Freighter,837,2978.58
2003-09,Bulk Carrier,436,15193.65
2003-09,Tanker,1411,24841.7
2003-09,Passenger,4057,1740.05
2003-09,Barges,1188,1528.37
2003-09,Tug,1051,190.2
2003-09,Miscellaneous,774,4736.06
2003-10,Container,1363,30871.62
2003-10,Freighter,964,2971.42
2003-10,Bulk Carrier,415,13181.89
2003-10,Tanker,1391,25732.72
2003-10,Passenger,4404,2068.47
2003-10,Barges,1189,1564.02
2003-10,Tug,994,178.71
2003-10,Miscellaneous,782,4484.26
2003-11,Container,1369,30770.54
2003-11,Freighter,906,2754.61
2003-11,Bulk Carrier,418,13769.34
2003-11,Tanker,1431,24485
2003-11,Passenger,4240,2249.44
2003-11,Barges,1190,1487.78
2003-11,Tug,1013,185.84
2003-11,Miscellaneous,775,4449.8
2003-12,Container,1407,31852.84
2003-12,Freighter,945,2714.46
2003-12,Bulk Carrier,406,13952.5
2003-12,Tanker,1421,26296.46
2003-12,Passenger,4513,2475.35
2003-12,Barges,1210,1544.38
2003-12,Tug,1055,193.75
2003-12,Miscellaneous,776,4747.92
2004-01,Container,1407,32346.74
2004-01,Freighter,879,3020.11
2004-01,Bulk Carrier,465,14237.16
2004-01,Tanker,1552,27856.38
2004-01,Passenger,4464,2321.13
2004-01,Barges,1046,1387.56
2004-01,Tug,893,162.21
2004-01,Miscellaneous,742,4282
2004-02,Container,1309,30512.66
2004-02,Freighter,847,2597.81
2004-02,Bulk Carrier,404,13059.22
2004-02,Tanker,1401,24214.34
2004-02,Passenger,4028,2401.99
2004-02,Barges,1081,1369.64
2004-02,Tug,950,168.99
2004-02,Miscellaneous,704,4225.26
2004-03,Container,1447,33291.99
2004-03,Freighter,879,2987.67
2004-03,Bulk Carrier,425,14048.31
2004-03,Tanker,1570,28065.55
2004-03,Passenger,4409,2658.4
2004-03,Barges,1277,1594.17
2004-03,Tug,1076,183.83
2004-03,Miscellaneous,799,4771.58
2004-04,Container,1395,32259.41
2004-04,Freighter,807,3042.55
2004-04,Bulk Carrier,433,14897.06
2004-04,Tanker,1518,27363.15
2004-04,Passenger,3295,1908.38
2004-04,Barges,1191,1506.76
2004-04,Tug,1043,186.23
2004-04,Miscellaneous,784,4151.65
2004-05,Container,1465,33688.49
2004-05,Freighter,825,2952.67
2004-05,Bulk Carrier,418,13638.51
2004-05,Tanker,1525,28570.64
2004-05,Passenger,3638,1862.48
2004-05,Barges,1191,1509.5
2004-05,Tug,1088,199.34
2004-05,Miscellaneous,825,4198.55
2004-06,Container,1423,33138.09
2004-06,Freighter,786,2480.61
2004-06,Bulk Carrier,394,13651.64
2004-06,Tanker,1476,26801.76
2004-06,Passenger,3730,1886.41
2004-06,Barges,1103,1420.59
2004-06,Tug,1008,197.63
2004-06,Miscellaneous,844,4724.61
2004-07,Container,1428,33403.29
2004-07,Freighter,843,3096.52
2004-07,Bulk Carrier,446,15215.78
2004-07,Tanker,1483,27609.13
2004-07,Passenger,3847,1841.88
2004-07,Barges,1266,1603.57
2004-07,Tug,1116,208.12
2004-07,Miscellaneous,858,5486.65
2004-08,Container,1439,33153.68
2004-08,Freighter,888,3203.48
2004-08,Bulk Carrier,466,16168.75
2004-08,Tanker,1380,26709
2004-08,Passenger,3824,1793.62
2004-08,Barges,1168,1514.63
2004-08,Tug,1081,202.8
2004-08,Miscellaneous,782,4822.52
2004-09,Container,1503,33620.76
2004-09,Freighter,945,2859.4
2004-09,Bulk Carrier,411,14021.76
2004-09,Tanker,1425,30623.76
2004-09,Passenger,3618,1817.45
2004-09,Barges,1195,1446.25
2004-09,Tug,1060,193.43
2004-09,Miscellaneous,776,4830.6
2004-10,Container,1482,33338.54
2004-10,Freighter,923,2974.85
2004-10,Bulk Carrier,489,16340.05
2004-10,Tanker,1376,27288.47
2004-10,Passenger,3721,2052.39
2004-10,Barges,1177,1418.67
2004-10,Tug,998,166.56
2004-10,Miscellaneous,784,4796.15
2004-11,Container,1461,33473.89
2004-11,Freighter,827,3051.33
2004-11,Bulk Carrier,476,16697.98
2004-11,Tanker,1427,28954.4
2004-11,Passenger,4116,1879.44
2004-11,Barges,1077,1306.54
2004-11,Tug,940,164.77
2004-11,Miscellaneous,694,4526.26
2004-12,Container,1574,34847.56
2004-12,Freighter,834,3118.8
2004-12,Bulk Carrier,500,16656.07
2004-12,Tanker,1443,27663.9
2004-12,Passenger,4441,2140.85
2004-12,Barges,1175,1405.61
2004-12,Tug,1021,175.91
2004-12,Miscellaneous,722,4560.05
2005-01,Container,1560,35151.86
2005-01,Freighter,855,3009.87
2005-01,Bulk Carrier,548,18755.28
2005-01,Tanker,1469,29698.76
2005-01,Passenger,4371,2075.94
2005-01,Barges,1147,1379.17
2005-01,Tug,1051,189.8
2005-01,Miscellaneous,743,4660.36
2005-02,Container,1342,31496.78
2005-02,Freighter,716,2855.09
2005-02,Bulk Carrier,454,15427.32
2005-02,Tanker,1278,24553.82
2005-02,Passenger,3686,1971.1
2005-02,Barges,920,1232.18
2005-02,Tug,884,178.22
2005-02,Miscellaneous,745,4887.01
2005-03,Container,1555,37169.46
2005-03,Freighter,858,3074
2005-03,Bulk Carrier,500,15991.12
2005-03,Tanker,1472,29576.7
2005-03,Passenger,3899,2397.64
2005-03,Barges,1171,1453.14
2005-03,Tug,1041,182.04
2005-03,Miscellaneous,849,4688.27
2005-04,Container,1493,35144.04
2005-04,Freighter,876,3082.55
2005-04,Bulk Carrier,559,19597
2005-04,Tanker,1446,27535.49
2005-04,Passenger,3659,1850.55
2005-04,Barges,1126,1380.59
2005-04,Tug,1017,183.74
2005-04,Miscellaneous,868,4981.62
2005-05,Container,1571,36905.12
2005-05,Freighter,847,3318.21
2005-05,Bulk Carrier,554,18496.6
2005-05,Tanker,1527,29684.81
2005-05,Passenger,3826,1922.22
2005-05,Barges,1088,1305.09
2005-05,Tug,996,187.3
2005-05,Miscellaneous,851,4738.23
2005-06,Container,1527,35345.1
2005-06,Freighter,811,3028.62
2005-06,Bulk Carrier,522,17762.57
2005-06,Tanker,1488,30892.2
2005-06,Passenger,3511,1790.99
2005-06,Barges,1105,1419.53
2005-06,Tug,975,188.76
2005-06,Miscellaneous,825,5182.68
2005-07,Container,1553,35430.52
2005-07,Freighter,784,3230.26
2005-07,Bulk Carrier,545,19522.01
2005-07,Tanker,1472,30067.77
2005-07,Passenger,3496,1887.97
2005-07,Barges,1129,1426.01
2005-07,Tug,1033,179.61
2005-07,Miscellaneous,814,4776.72
2005-08,Container,1594,36340.27
2005-08,Freighter,745,3107.8
2005-08,Bulk Carrier,564,19668
2005-08,Tanker,1520,33697.31
2005-08,Passenger,3514,1958.52
2005-08,Barges,1096,1376.66
2005-08,Tug,1003,188.07
2005-08,Miscellaneous,842,5628.94
2005-09,Container,1505,34863.85
2005-09,Freighter,799,3087.77
2005-09,Bulk Carrier,571,19897.84
2005-09,Tanker,1390,29189.59
2005-09,Passenger,3367,1783.22
2005-09,Barges,1095,1342.55
2005-09,Tug,974,157.72
2005-09,Miscellaneous,797,4989.54
2005-10,Container,1584,37059.85
2005-10,Freighter,863,3496.42
2005-10,Bulk Carrier,651,23705.67
2005-10,Tanker,1414,29175.03
2005-10,Passenger,3480,1889.19
2005-10,Barges,1084,1402.91
2005-10,Tug,1000,160.12
2005-10,Miscellaneous,846,5189.87
2005-11,Container,1514,36088.07
2005-11,Freighter,817,3246.62
2005-11,Bulk Carrier,585,21849.18
2005-11,Tanker,1385,27219.36
2005-11,Passenger,3346,2510.75
2005-11,Barges,911,1209.23
2005-11,Tug,878,180.65
2005-11,Miscellaneous,827,5300.15
2005-12,Container,1617,38417.61
2005-12,Freighter,851,3063.8
2005-12,Bulk Carrier,583,21220.29
2005-12,Tanker,1454,28338.76
2005-12,Passenger,3347,2344.45
2005-12,Barges,1032,1371.68
2005-12,Tug,1001,193.67
2005-12,Miscellaneous,864,5381.06
2006-01,Container,1645,38553.42
2006-01,Freighter,796,3140.87
2006-01,Bulk Carrier,619,23474.59
2006-01,Tanker,1457,31700.52
2006-01,Passenger,3443,2531.77
2006-01,Barges,892,1177.79
2006-01,Tug,890,163.01
2006-01,Miscellaneous,794,5386.38
2006-02,Container,1466,35134
2006-02,Freighter,700,2724.84
2006-02,Bulk Carrier,569,21666.92
2006-02,Tanker,1347,30141.03
2006-02,Passenger,3103,2400.98
2006-02,Barges,928,1211.18
2006-02,Tug,923,169.12
2006-02,Miscellaneous,755,4465.89
2006-03,Container,1647,38182.94
2006-03,Freighter,848,3564.62
2006-03,Bulk Carrier,651,24271.69
2006-03,Tanker,1486,33474.1
2006-03,Passenger,3473,2955.77
2006-03,Barges,1126,1441.54
2006-03,Tug,1095,194.91
2006-03,Miscellaneous,874,5040.99
2006-04,Container,1533,36151.31
2006-04,Freighter,779,3300.02
2006-04,Bulk Carrier,618,23591.84
2006-04,Tanker,1506,34093.49
2006-04,Passenger,3315,2628.02
2006-04,Barges,992,1311.65
2006-04,Tug,1019,201.18
2006-04,Miscellaneous,801,4833.66
2006-05,Container,1622,38956.03
2006-05,Freighter,782,2852.12
2006-05,Bulk Carrier,733,27453.5
2006-05,Tanker,1576,35622.57
2006-05,Passenger,3325,2422.36
2006-05,Barges,1067,1429.03
2006-05,Tug,1031,195.19
2006-05,Miscellaneous,816,4729.49
2006-06,Container,1563,38292.7
2006-06,Freighter,797,3393.22
2006-06,Bulk Carrier,665,24386.03
2006-06,Tanker,1535,35969.96
2006-06,Passenger,3256,2333.36
2006-06,Barges,1111,1461.86
2006-06,Tug,1086,187.78
2006-06,Miscellaneous,844,4782.97
2006-07,Container,1593,39063.22
2006-07,Freighter,760,3073.54
2006-07,Bulk Carrier,647,24386.02
2006-07,Tanker,1564,34067.66
2006-07,Passenger,3289,2367.07
2006-07,Barges,1115,1538.07
2006-07,Tug,1083,208.04
2006-07,Miscellaneous,807,4989.6
2006-08,Container,1646,41081.45
2006-08,Freighter,789,2938.74
2006-08,Bulk Carrier,678,26550.14
2006-08,Tanker,1574,35750.8
2006-08,Passenger,3137,2345.11
2006-08,Barges,1128,1579.35
2006-08,Tug,1136,218.57
2006-08,Miscellaneous,864,5124.72
2006-09,Container,1594,38733.49
2006-09,Freighter,854,3365.76
2006-09,Bulk Carrier,665,25855.85
2006-09,Tanker,1592,33608.92
2006-09,Passenger,3050,2192.84
2006-09,Barges,1151,1644.75
2006-09,Tug,1175,226.45
2006-09,Miscellaneous,874,5191.02
2006-10,Container,1619,40352.73
2006-10,Freighter,820,3268.95
2006-10,Bulk Carrier,695,25320.98
2006-10,Tanker,1510,32790.23
2006-10,Passenger,3147,2189.76
2006-10,Barges,1052,1563.73
2006-10,Tug,1011,215.25
2006-10,Miscellaneous,889,4973.38
2006-11,Container,1590,39279.47
2006-11,Freighter,842,3327
2006-11,Bulk Carrier,662,24574.43
2006-11,Tanker,1534,34261.4
2006-11,Passenger,2990,2407.7
2006-11,Barges,1137,1676.55
2006-11,Tug,1074,216.69
2006-11,Miscellaneous,832,4441.14
2006-12,Container,1643,41737.57
2006-12,Freighter,752,3263.31
2006-12,Bulk Carrier,710,25934.85
2006-12,Tanker,1514,34092.06
2006-12,Passenger,3248,2443.26
2006-12,Barges,1090,1608.45
2006-12,Tug,1038,211.94
2006-12,Miscellaneous,859,4989.78
2007-01,Container,1634,40803.25
2007-01,Freighter,848,3434.05
2007-01,Bulk Carrier,755,27127.57
2007-01,Tanker,1618,36323.67
2007-01,Passenger,3148,2313.64
2007-01,Barges,1072,1506.07
2007-01,Tug,1011,190.34
2007-01,Miscellaneous,832,5129.37
2007-02,Container,1495,38578.37
2007-02,Freighter,731,2827.55
2007-02,Bulk Carrier,639,24191.72
2007-02,Tanker,1485,32924.22
2007-02,Passenger,2841,1812.46
2007-02,Barges,803,1086.38
2007-02,Tug,833,165.04
2007-02,Miscellaneous,777,5665.72
2007-03,Container,1648,42366.01
2007-03,Freighter,827,3494.66
2007-03,Bulk Carrier,729,26604.86
2007-03,Tanker,1675,38866.11
2007-03,Passenger,3101,2749.54
2007-03,Barges,768,1035.84
2007-03,Tug,887,189.83
2007-03,Miscellaneous,866,6600.38
2007-04,Container,1631,42324.46
2007-04,Freighter,805,3417.85
2007-04,Bulk Carrier,713,26395.11
2007-04,Tanker,1607,36623.12
2007-04,Passenger,3045,2177.24
2007-04,Barges,778,1089.72
2007-04,Tug,845,175.35
2007-04,Miscellaneous,828,5748.65
2007-05,Container,1695,43646.3
2007-05,Freighter,821,3247.3
2007-05,Bulk Carrier,734,27084.75
2007-05,Tanker,1591,36414.81
2007-05,Passenger,3146,2346.9
2007-05,Barges,887,1237.28
2007-05,Tug,905,197.25
2007-05,Miscellaneous,852,6348.95
2007-06,Container,1624,42801.87
2007-06,Freighter,821,3002.68
2007-06,Bulk Carrier,757,29480.7
2007-06,Tanker,1613,36466.92
2007-06,Passenger,3108,2997.68
2007-06,Barges,921,1296.08
2007-06,Tug,950,204.66
2007-06,Miscellaneous,791,5919.54
2007-07,Container,1711,45112.16
2007-07,Freighter,814,3354.03
2007-07,Bulk Carrier,743,27874.47
2007-07,Tanker,1649,38672.6
2007-07,Passenger,3181,2152.61
2007-07,Barges,1081,1500.44
2007-07,Tug,1057,205.31
2007-07,Miscellaneous,834,6557.81
2007-08,Container,1713,45455.06
2007-08,Freighter,817,3323.48
2007-08,Bulk Carrier,751,28728.3
2007-08,Tanker,1611,35973.52
2007-08,Passenger,3253,2301.83
2007-08,Barges,1106,1528.71
2007-08,Tug,1063,199.81
2007-08,Miscellaneous,832,6765.48
2007-09,Container,1673,44646.92
2007-09,Freighter,793,3188.83
2007-09,Bulk Carrier,708,27548.45
2007-09,Tanker,1639,40936.66
2007-09,Passenger,3125,2114.25
2007-09,Barges,1098,1535.83
2007-09,Tug,1085,200.79
2007-09,Miscellaneous,865,6580.27
2007-10,Container,1729,47685.01
2007-10,Freighter,827,3532.19
2007-10,Bulk Carrier,713,26441.46
2007-10,Tanker,1640,37972.22
2007-10,Passenger,3115,2662.41
2007-10,Barges,1091,1496.69
2007-10,Tug,1081,215.43
2007-10,Miscellaneous,887,6943.39
2007-11,Container,1688,45714.86
2007-11,Freighter,863,3559.32
2007-11,Bulk Carrier,701,26689.81
2007-11,Tanker,1565,37027.12
2007-11,Passenger,3080,2443.71
2007-11,Barges,1000,1358.17
2007-11,Tug,1015,189.34
2007-11,Miscellaneous,871,5906.9
2007-12,Container,1705,47542.16
2007-12,Freighter,897,3909.09
2007-12,Bulk Carrier,710,25733.4
2007-12,Tanker,1619,37246.88
2007-12,Passenger,3118,3103.81
2007-12,Barges,995,1425.8
2007-12,Tug,1040,215.31
2007-12,Miscellaneous,925,7117.29
2008-01,Container,1755,49690.04
2008-01,Freighter,915,3879
2008-01,Bulk Carrier,786,29272.11
2008-01,Tanker,1610,40338.33
2008-01,Passenger,2852,2495.09
2008-01,Barges,1122,1556.25
2008-01,Tug,1111,221.23
2008-01,Miscellaneous,907,6187.33
2008-02,Container,1605,43389.24
2008-02,Freighter,760,3268.88
2008-02,Bulk Carrier,696,26327.56
2008-02,Tanker,1477,38328.65
2008-02,Passenger,2760,2387.03
2008-02,Barges,940,1295.04
2008-02,Tug,937,184.34
2008-02,Miscellaneous,868,7224.89
2008-03,Container,1744,49433.45
2008-03,Freighter,827,3936.85
2008-03,Bulk Carrier,754,28259.71
2008-03,Tanker,1685,44309.46
2008-03,Passenger,2980,3099.08
2008-03,Barges,1126,1557.65
2008-03,Tug,1109,234.81
2008-03,Miscellaneous,898,7849.5
2008-04,Container,1712,48058.84
2008-04,Freighter,840,3449.7
2008-04,Bulk Carrier,821,31411.96
2008-04,Tanker,1739,45958.08
2008-04,Passenger,2820,2202.26
2008-04,Barges,1164,1558.04
2008-04,Tug,1130,222.59
2008-04,Miscellaneous,923,7305.01
2008-05,Container,1801,51404.41
2008-05,Freighter,820,3382.28
2008-05,Bulk Carrier,839,31479.16
2008-05,Tanker,1637,40943.59
2008-05,Passenger,2958,2169.69
2008-05,Barges,1185,1674.43
2008-05,Tug,1218,240.16
2008-05,Miscellaneous,971,7941.72
2008-06,Container,1701,49133.66
2008-06,Freighter,815,3437.87
2008-06,Bulk Carrier,668,25639.71
2008-06,Tanker,1664,40313.61
2008-06,Passenger,2740,2090.71
2008-06,Barges,1195,1770.06
2008-06,Tug,1141,224.62
2008-06,Miscellaneous,955,6488.83
2008-07,Container,1797,51691.47
2008-07,Freighter,869,3523.59
2008-07,Bulk Carrier,755,29527.09
2008-07,Tanker,1639,38071.61
2008-07,Passenger,2789,1977.85
2008-07,Barges,1317,1946.17
2008-07,Tug,1217,236.11
2008-07,Miscellaneous,995,8461.49
2008-08,Container,1749,50331.55
2008-08,Freighter,821,3658.06
2008-08,Bulk Carrier,792,31773.7
2008-08,Tanker,1707,43235.78
2008-08,Passenger,2796,1781.89
2008-08,Barges,1181,1717.25
2008-08,Tug,1145,236.62
2008-08,Miscellaneous,1010,8729.04
2008-09,Container,1687,49711.85
2008-09,Freighter,778,3507.24
2008-09,Bulk Carrier,714,28532.71
2008-09,Tanker,1579,40298.82
2008-09,Passenger,2641,1862.34
2008-09,Barges,1230,1848.24
2008-09,Tug,1179,241.19
2008-09,Miscellaneous,952,8318.41
2008-10,Container,1684,49678.97
2008-10,Freighter,760,3800.1
2008-10,Bulk Carrier,785,30308.84
2008-10,Tanker,1526,37321.76
2008-10,Passenger,2804,2431.66
2008-10,Barges,1219,1963.59
2008-10,Tug,1182,250.44
2008-10,Miscellaneous,937,7524.38
2008-11,Container,1659,48967.82
2008-11,Freighter,761,3737.03
2008-11,Bulk Carrier,783,30255
2008-11,Tanker,1564,37775.21
2008-11,Passenger,2709,2931.9
2008-11,Barges,1188,1969.57
2008-11,Tug,1179,258.98
2008-11,Miscellaneous,898,8278.13
2008-12,Container,1695,49687.83
2008-12,Freighter,736,3880.36
2008-12,Bulk Carrier,887,34351.87
2008-12,Tanker,1633,37520.37
2008-12,Passenger,2817,3074.52
2008-12,Barges,1180,1963.21
2008-12,Tug,1188,255.31
2008-12,Miscellaneous,901,8431.92
2009-01,Container,1568,47988.29
2009-01,Freighter,653,3342.67
2009-01,Bulk Carrier,908,35983.96
2009-01,Tanker,1618,41974.44
2009-01,Passenger,2713,2969.22
2009-01,Barges,1118,1917.72
2009-01,Tug,1124,242.88
2009-01,Miscellaneous,858,8581.76
2009-02,Container,1338,40587.68
2009-02,Freighter,645,2976.21
2009-02,Bulk Carrier,955,38148.23
2009-02,Tanker,1460,34281.27
2009-02,Passenger,2376,2206.38
2009-02,Barges,1165,1983.59
2009-02,Tug,1150,250.18
2009-02,Miscellaneous,800,7510.44
2009-03,Container,1529,46705.93
2009-03,Freighter,693,3731
2009-03,Bulk Carrier,1112,46074.95
2009-03,Tanker,1686,42490.85
2009-03,Passenger,2620,3221.3
2009-03,Barges,1308,2378.12
2009-03,Tug,1299,286.12
2009-03,Miscellaneous,809,7606.89
2009-04,Container,1466,44385.98
2009-04,Freighter,690,3825.74
2009-04,Bulk Carrier,1041,43484.21
2009-04,Tanker,1652,40946.68
2009-04,Passenger,2538,2779.91
2009-04,Barges,1232,2275.82
2009-04,Tug,1263,272.61
2009-04,Miscellaneous,816,7113.15
2009-05,Container,1551,48061.25
2009-05,Freighter,676,3621.18
2009-05,Bulk Carrier,1133,48089.36
2009-05,Tanker,1748,47519.26
2009-05,Passenger,2643,2474.29
2009-05,Barges,1265,2425.09
2009-05,Tug,1331,323.37
2009-05,Miscellaneous,840,7070
2009-06,Container,1462,45001.1
2009-06,Freighter,689,3616.28
2009-06,Bulk Carrier,914,37910.94
2009-06,Tanker,1727,44244.39
2009-06,Passenger,2585,2182.15
2009-06,Barges,1384,2759.59
2009-06,Tug,1407,311.13
2009-06,Miscellaneous,861,7886.49
2009-07,Container,1547,48544.48
2009-07,Freighter,713,3631.12
2009-07,Bulk Carrier,1030,44171.93
2009-07,Tanker,1718,44548.15
2009-07,Passenger,2758,2347.35
2009-07,Barges,1387,2722.96
2009-07,Tug,1408,302.52
2009-07,Miscellaneous,877,7740.74
2009-08,Container,1530,48818.96
2009-08,Freighter,687,3458.46
2009-08,Bulk Carrier,977,40341.6
2009-08,Tanker,1740,48271
2009-08,Passenger,2778,2524.53
2009-08,Barges,1318,2543.16
2009-08,Tug,1385,326.24
2009-08,Miscellaneous,846,7261.1
2009-09,Container,1464,46368.12
2009-09,Freighter,678,3776.77
2009-09,Bulk Carrier,960,42296.21
2009-09,Tanker,1662,45225.27
2009-09,Passenger,2693,2522.19
2009-09,Barges,1208,2254.5
2009-09,Tug,1282,276.17
2009-09,Miscellaneous,852,7534.32
2009-10,Container,1525,48170.83
2009-10,Freighter,717,3364.79
2009-10,Bulk Carrier,1030,44014.21
2009-10,Tanker,1770,47408.48
2009-10,Passenger,2815,2736.92
2009-10,Barges,1147,2059.16
2009-10,Tug,1267,302.55
2009-10,Miscellaneous,892,7874.91
2009-11,Container,1492,47420.79
2009-11,Freighter,665,3316.36
2009-11,Bulk Carrier,884,38771.34
2009-11,Tanker,1612,43662.27
2009-11,Passenger,2787,3608.74
2009-11,Barges,1092,2081.8
2009-11,Tug,1156,283.02
2009-11,Miscellaneous,814,7568.27
2009-12,Container,1533,47958.16
2009-12,Freighter,759,3774.86
2009-12,Bulk Carrier,929,39023.55
2009-12,Tanker,1687,47045.49
2009-12,Passenger,2870,3662.28
2009-12,Barges,1154,2318.56
2009-12,Tug,1197,272.45
2009-12,Miscellaneous,864,8141.58
2010-01,Container,1512,48099.56
2010-01,Freighter,721,3555.34
2010-01,Bulk Carrier,1010,42167.78
2010-01,Tanker,1785,47167.79
2010-01,Passenger,2769,2978.09
2010-01,Barges,1123,2071.16
2010-01,Tug,1159,261.14
2010-01,Miscellaneous,914,7939.07
2010-02,Container,1396,44930.85
2010-02,Freighter,635,3436.52
2010-02,Bulk Carrier,977,41744.73
2010-02,Tanker,1654,43708.39
2010-02,Passenger,2571,2768.06
2010-02,Barges,977,1854.33
2010-02,Tug,1012,216.31
2010-02,Miscellaneous,759,6790.43
2010-03,Container,1530,47615.73
2010-03,Freighter,722,3361.72
2010-03,Bulk Carrier,1063,46168.9
2010-03,Tanker,1830,48111.87
2010-03,Passenger,2696,2999.47
2010-03,Barges,1125,1915.11
2010-03,Tug,1159,259.39
2010-03,Miscellaneous,872,8111.29
2010-04,Container,1535,49351.66
2010-04,Freighter,750,3776
2010-04,Bulk Carrier,1033,42527.97
2010-04,Tanker,1717,44942.82
2010-04,Passenger,2475,2644.24
2010-04,Barges,1026,1691.17
2010-04,Tug,1084,236.17
2010-04,Miscellaneous,811,8455.89
2010-05,Container,1614,52162.8
2010-05,Freighter,725,3511.88
2010-05,Bulk Carrier,1056,45048.97
2010-05,Tanker,1774,46942.66
2010-05,Passenger,2574,2209.02
2010-05,Barges,1040,1639.37
2010-05,Tug,1094,240.95
2010-05,Miscellaneous,829,9008.71
2010-06,Container,1577,51209.11
2010-06,Freighter,777,3993.32
2010-06,Bulk Carrier,1034,43401.89
2010-06,Tanker,1814,48416.87
2010-06,Passenger,2510,1983.52
2010-06,Barges,1014,1574.7
2010-06,Tug,1067,247.02
2010-06,Miscellaneous,805,9454.87
2010-07,Container,1659,53717.4
2010-07,Freighter,760,3628.83
2010-07,Bulk Carrier,1030,47106.26
2010-07,Tanker,1852,48521.73
2010-07,Passenger,2684,2134.09
2010-07,Barges,982,1359.87
2010-07,Tug,1053,237.89
2010-07,Miscellaneous,871,9432.87
2010-08,Container,1665,54648.16
2010-08,Freighter,768,3788.09
2010-08,Bulk Carrier,956,41192.39
2010-08,Tanker,1837,47573
2010-08,Passenger,2740,1983.56
2010-08,Barges,918,1344.54
2010-08,Tug,962,219.87
2010-08,Miscellaneous,799,9654.22
2010-09,Container,1609,53013.38
2010-09,Freighter,704,3400.98
2010-09,Bulk Carrier,1001,45119.69
2010-09,Tanker,1764,46798.42
2010-09,Passenger,2552,1805.15
2010-09,Barges,877,1238.11
2010-09,Tug,930,206.04
2010-09,Miscellaneous,763,9128.01
2010-10,Container,1616,53133.11
2010-10,Freighter,728,3542.93
2010-10,Bulk Carrier,1011,47880.97
2010-10,Tanker,1805,50536.25
2010-10,Passenger,2647,2308.52
2010-10,Barges,961,1530.78
2010-10,Tug,1012,230.29
2010-10,Miscellaneous,766,9551.11
2010-11,Container,1626,53201.66
